Cruise;Date;DeciYear;Year;Month;Day;Hours;Minutes;Longitude;Latitude;Pressure;Depth;Temperature;Salinity;Conductivity;O2;Beam;PAR;Fluor;Sig_theta;Season;VertZone;MLD_dens125;MLD_bvfrq;MLD_densT2;DCM;z_par_1pcnt
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;149;147.9124;19.7852;36.5981;4.9701;197.89;0.411;2.18;0.028;26.04559;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;151;149.89771;19.7324;36.5981;4.9646;197.53999;0.41;2.01;0.016;26.05961;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;153;151.8819;19.7199;36.599;4.9635;197.82001;0.409;1.89;0.023;26.06368;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;155;153.8658;19.6805;36.6006;4.9597;197.63;0.408;1.77;0.027;26.07537;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;157;155.85069;19.5866;36.5928;4.9489;197.57001;0.407;1.64;0.011;26.09416;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;159;157.8363;19.5702;36.5933;4.9473;196.85001;0.407;1.54;0.011;26.09893;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;161;159.8204;19.5301;36.5911;4.9429;197.31;0.406;1.44;0.007;26.10785;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;163;161.8046;19.4791;36.5901;4.9375;197.13;0.406;1.34;0.004;26.12051;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;165;163.78889;19.4608;36.59;4.9357;197.05;0.405;1.23;0.01;26.12531;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;167;165.774;19.4326;36.5883;4.9326;197.37;0.405;1.15;0.006;26.13146;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;169;167.75841;19.408;36.5869;4.9299;197.49001;0.405;1.06;0.004;26.1369;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;171;169.7435;19.3682;36.5836;4.9254;197.66;0.405;1;0.002;26.14484;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;173;171.72729;19.3386;36.5828;4.9223;197.42999;0.405;0.9;0.003;26.15202;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;175;173.71201;19.3226;36.5822;4.9207;197.2;0.405;0.83;0.001;26.15582;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;177;175.6963;19.3123;36.5829;4.9198;197.19;0.404;0.78;0;26.15912;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;179;177.6804;19.2935;36.5821;4.9178;197.39;0.404;0.71;0.004;26.16349;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;181;179.6651;19.2528;36.5795;4.9133;197.75;0.404;0.65;0.007;26.17215;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;183;181.6498;19.2213;36.5758;4.9096;198.07001;0.404;0.6;0.006;26.17758;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;185;183.63271;19.217;36.5744;4.9091;198.00999;0.404;0.56;0.003;26.17772;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;187;185.61749;19.2078;36.5744;4.9082;197.32001;0.405;0.52;0.012;26.18019;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;189;187.60229;19.2032;36.5746;4.9079;196.97;0.405;0.5;0.005;26.18163;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;191;189.5865;19.1997;36.5744;4.9076;197.21001;0.404;0.46;0.002;26.18248;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;193;191.5704;19.1938;36.5747;4.9071;197.23;0.404;0.43;0.002;26.18433;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
